 _X3D elements and attributes, shown in relaxed lowercase and strict CamelCase_

1. X3D elements from x3d-3.3.xsd schema, lower case and XML case:
================================================================================
anchor                                     Anchor
appearance                                 Appearance
arc2d                                      Arc2D
arcclose2d                                 ArcClose2D
audioclip                                  AudioClip
background                                 Background
balljoint                                  BallJoint
billboard                                  Billboard
blendedvolumestyle                         BlendedVolumeStyle
booleanfilter                              BooleanFilter
booleansequencer                           BooleanSequencer
booleantoggle                              BooleanToggle
booleantrigger                             BooleanTrigger
boundaryenhancementvolumestyle             BoundaryEnhancementVolumeStyle
boundedphysicsmodel                        BoundedPhysicsModel
box                                        Box
cadassembly                                CADAssembly
cadface                                    CADFace
cadlayer                                   CADLayer
cadpart                                    CADPart
cartoonvolumestyle                         CartoonVolumeStyle
circle2d                                   Circle2D
clipplane                                  ClipPlane
collidableoffset                           CollidableOffset
collidableshape                            CollidableShape
collision                                  Collision
collisioncollection                        CollisionCollection
collisionsensor                            CollisionSensor
collisionspace                             CollisionSpace
color                                      Color
colorchaser                                ColorChaser
colordamper                                ColorDamper
colorinterpolator                          ColorInterpolator
colorrgba                                  ColorRGBA
component                                  component
composedcubemaptexture                     ComposedCubeMapTexture
composedshader                             ComposedShader
composedtexture3d                          ComposedTexture3D
composedvolumestyle                        ComposedVolumeStyle
cone                                       Cone
coneemitter                                ConeEmitter
connect                                    connect
contact                                    Contact
contour2d                                  Contour2D
contourpolyline2d                          ContourPolyline2D
coordinate                                 Coordinate
coordinatechaser                           CoordinateChaser
coordinatedamper                           CoordinateDamper
coordinatedouble                           CoordinateDouble
coordinateinterpolator                     CoordinateInterpolator
coordinateinterpolator2d                   CoordinateInterpolator2D
cylinder                                   Cylinder
cylindersensor                             CylinderSensor
directionallight                           DirectionalLight
disentitymanager                           DISEntityManager
disentitytypemapping                       DISEntityTypeMapping
disk2d                                     Disk2D
doubleaxishingejoint                       DoubleAxisHingeJoint
easeineaseout                              EaseInEaseOut
edgeenhancementvolumestyle                 EdgeEnhancementVolumeStyle
elevationgrid                              ElevationGrid
espdutransform                             EspduTransform
explosionemitter                           ExplosionEmitter
export                                     EXPORT
externprotodeclare                         ExternProtoDeclare
extrusion                                  Extrusion
field                                      field
fieldvalue                                 fieldValue
fillproperties                             FillProperties
floatvertexattribute                       FloatVertexAttribute
fog                                        Fog
fogcoordinate                              FogCoordinate
fontstyle                                  FontStyle
forcephysicsmodel                          ForcePhysicsModel
generatedcubemaptexture                    GeneratedCubeMapTexture
geocoordinate                              GeoCoordinate
geoelevationgrid                           GeoElevationGrid
geolocation                                GeoLocation
geolod                                     GeoLOD
geometadata                                GeoMetadata
geoorigin                                  GeoOrigin
geopositioninterpolator                    GeoPositionInterpolator
geoproximitysensor                         GeoProximitySensor
geotouchsensor                             GeoTouchSensor
geotransform                               GeoTransform
geoviewpoint                               GeoViewpoint
group                                      Group
hanimdisplacer                             HAnimDisplacer
hanimhumanoid                              HAnimHumanoid
hanimjoint                                 HAnimJoint
hanimsegment                               HAnimSegment
hanimsite                                  HAnimSite
head                                       head
imagecubemaptexture                        ImageCubeMapTexture
imagetexture                               ImageTexture
imagetexture3d                             ImageTexture3D
import                                     IMPORT
indexedfaceset                             IndexedFaceSet
indexedlineset                             IndexedLineSet
indexedquadset                             IndexedQuadSet
indexedtrianglefanset                      IndexedTriangleFanSet
indexedtriangleset                         IndexedTriangleSet
indexedtrianglestripset                    IndexedTriangleStripSet
inline                                     Inline
integersequencer                           IntegerSequencer
integertrigger                             IntegerTrigger
is                                         IS
isosurfacevolumedata                       IsoSurfaceVolumeData
keysensor                                  KeySensor
layer                                      Layer
layerset                                   LayerSet
layout                                     Layout
layoutgroup                                LayoutGroup
layoutlayer                                LayoutLayer
linepicksensor                             LinePickSensor
lineproperties                             LineProperties
lineset                                    LineSet
loadsensor                                 LoadSensor
localfog                                   LocalFog
lod                                        LOD
material                                   Material
matrix3vertexattribute                     Matrix3VertexAttribute
matrix4vertexattribute                     Matrix4VertexAttribute
meta                                       meta
metadataboolean                            MetadataBoolean
metadatadouble                             MetadataDouble
metadatafloat                              MetadataFloat
metadatainteger                            MetadataInteger
metadataset                                MetadataSet
metadatastring                             MetadataString
motorjoint                                 MotorJoint
movietexture                               MovieTexture
multitexture                               MultiTexture
multitexturecoordinate                     MultiTextureCoordinate
multitexturetransform                      MultiTextureTransform
navigationinfo                             NavigationInfo
normal                                     Normal
normalinterpolator                         NormalInterpolator
nurbscurve                                 NurbsCurve
nurbscurve2d                               NurbsCurve2D
nurbsorientationinterpolator               NurbsOrientationInterpolator
nurbspatchsurface                          NurbsPatchSurface
nurbspositioninterpolator                  NurbsPositionInterpolator
nurbsset                                   NurbsSet
nurbssurfaceinterpolator                   NurbsSurfaceInterpolator
nurbssweptsurface                          NurbsSweptSurface
nurbsswungsurface                          NurbsSwungSurface
nurbstexturecoordinate                     NurbsTextureCoordinate
nurbstrimmedsurface                        NurbsTrimmedSurface
opacitymapvolumestyle                      OpacityMapVolumeStyle
orientationchaser                          OrientationChaser
orientationdamper                          OrientationDamper
orientationinterpolator                    OrientationInterpolator
orthoviewpoint                             OrthoViewpoint
packagedshader                             PackagedShader
particlesystem                             ParticleSystem
pickablegroup                              PickableGroup
pixeltexture                               PixelTexture
pixeltexture3d                             PixelTexture3D
planesensor                                PlaneSensor
pointemitter                               PointEmitter
pointlight                                 PointLight
pointpicksensor                            PointPickSensor
pointset                                   PointSet
polyline2d                                 Polyline2D
polylineemitter                            PolylineEmitter
polypoint2d                                Polypoint2D
positionchaser                             PositionChaser
positionchaser2d                           PositionChaser2D
positiondamper                             PositionDamper
positiondamper2d                           PositionDamper2D
positioninterpolator                       PositionInterpolator
positioninterpolator2d                     PositionInterpolator2D
primitivepicksensor                        PrimitivePickSensor
programshader                              ProgramShader
projectionvolumestyle                      ProjectionVolumeStyle
protobody                                  ProtoBody
protodeclare                               ProtoDeclare
protoinstance                              ProtoInstance
protointerface                             ProtoInterface
proximitysensor                            ProximitySensor
quadset                                    QuadSet
receiverpdu                                ReceiverPdu
rectangle2d                                Rectangle2D
rigidbody                                  RigidBody
rigidbodycollection                        RigidBodyCollection
route                                      ROUTE
scalarchaser                               ScalarChaser
scalardamper                               ScalarDamper
scalarinterpolator                         ScalarInterpolator
scene                                      Scene
screenfontstyle                            ScreenFontStyle
screengroup                                ScreenGroup
script                                     Script
segmentedvolumedata                        SegmentedVolumeData
shadedvolumestyle                          ShadedVolumeStyle
shaderpart                                 ShaderPart
shaderprogram                              ShaderProgram
shape                                      Shape
signalpdu                                  SignalPdu
silhouetteenhancementvolumestyle           SilhouetteEnhancementVolumeStyle
singleaxishingejoint                       SingleAxisHingeJoint
sliderjoint                                SliderJoint
sound                                      Sound
sphere                                     Sphere
spheresensor                               SphereSensor
splinepositioninterpolator                 SplinePositionInterpolator
splinepositioninterpolator2d               SplinePositionInterpolator2D
splinescalarinterpolator                   SplineScalarInterpolator
spotlight                                  SpotLight
squadorientationinterpolator               SquadOrientationInterpolator
staticgroup                                StaticGroup
stringsensor                               StringSensor
surfaceemitter                             SurfaceEmitter
switch                                     Switch
texcoordchaser2d                           TexCoordChaser2D
texcoorddamper2d                           TexCoordDamper2D
text                                       Text
texturebackground                          TextureBackground
texturecoordinate                          TextureCoordinate
texturecoordinate3d                        TextureCoordinate3D
texturecoordinate4d                        TextureCoordinate4D
texturecoordinategenerator                 TextureCoordinateGenerator
textureproperties                          TextureProperties
texturetransform                           TextureTransform
texturetransform3d                         TextureTransform3D
texturetransformmatrix3d                   TextureTransformMatrix3D
timesensor                                 TimeSensor
timetrigger                                TimeTrigger
tonemappedvolumestyle                      ToneMappedVolumeStyle
touchsensor                                TouchSensor
transform                                  Transform
transformsensor                            TransformSensor
transmitterpdu                             TransmitterPdu
trianglefanset                             TriangleFanSet
triangleset                                TriangleSet
triangleset2d                              TriangleSet2D
trianglestripset                           TriangleStripSet
twosidedmaterial                           TwoSidedMaterial
unit                                       unit
universaljoint                             UniversalJoint
viewpoint                                  Viewpoint
viewpointgroup                             ViewpointGroup
viewport                                   Viewport
visibilitysensor                           VisibilitySensor
volumedata                                 VolumeData
volumeemitter                              VolumeEmitter
volumepicksensor                           VolumePickSensor
windphysicsmodel                           WindPhysicsModel
worldinfo                                  WorldInfo
x3d                                        X3D
